Name,DataType,MinCardinality,MaxCardinality,Description,Ordered,AllowSubtypes,MinLength,MaxLength,Enumeration,Pattern,MinInclusive,MinExclusive,MaxInclusive,MaxExclusive,DeprecatedNamespace,DeprecatedElementOrAttribute,DeprecatedChoiceGroup
Command,string,1,1,The type of transform command,,,,,,,,,,,,,
SourceInformation,SourceInformation,1,1,Information about the source of the transform command.,,,,,,,,,,,,,
